,start,end,text,url,name
0,0.0,9.0," Muy buenos días, tardes o noches para el que está escuchando esto en el futuro.",/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
1,9.0,19.240000000000002, Yo soy Sergio Gamboa y les voy a compartir un mini tutorial de cómo agregar o modificar,/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
2,19.240000000000002,24.36, productos para el cotizador de Hub Avisos.,/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
3,24.36,31.04," Les decía que si yo quiero agregar o modificar algún producto que salga en estas selecciones,",/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
4,31.04,33.64, cómo es ese buen procedimiento.,/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
5,33.64,36.8, Lo primero es que tengo que tener los archivos.,/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
6,36.8,43.6, Se tiene como estándar que en el drive de Hub Avisos se tenga dentro de la carpeta de,/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
7,43.6,49.96," cotizador en informática una carpeta llamada productos, donde van a estar el tema de los",/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
8,49.96,55.64," productos, dos archivos que se llaman precios implementes y señalización no tocar, que",/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
9,55.64,61.64," es como el backup por si algo falla, y los dos que uno puede modificar de acuerdo a las",/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
10,61.64,62.64, necesidades.,/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
11,62.64,65.28, Estos son los que vamos a modificar y agregar.,/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
12,65.28,67.92, Lo primero es que abrimos esto como un Excel.,/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
13,67.92,74.48," Esto recordar que esto está en un punto CSV, pero lo podemos trabajar desde un Excel.",/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
14,74.48,81.96000000000001," Aquí podemos seleccionar toda la columna A, donde están los datos, le damos en datos,",/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
15,81.96000000000001,86.48, luego en texto en columnas y aquí lo podemos delimitar.,/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
16,86.48,90.52000000000001," En este caso lo ponemos delimitados, siguiente y está delimitado por coma.",/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
17,90.52000000000001,94.76," Como es un CSV, pues está definido por una coma.",/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
18,94.76,97.72," Aquí que podemos ver, tenemos varias cositas.",/content/drive/MyDrive/Projects/29.buscadorWhisper/Cotizador/Fase 1.5/Documentacion/Componentes modificables/Guia-Crear-modificar-Productos.mp4,Guia-Crear-modificar-Productos
